Что такое DDD?;Создание общего пространства коммуникации между разработчиками и бизнесом, на основе которого проектируется архитектура приложения. Бизнес и разработчики говорят на одном языке.
Два уровня DDD;Strategic design (высокий уровень, поле проблем) и Tactical design (код и технические реализации).
Шаги Strategic design;1) Определить Value — ценность продукта и проблемы, которые он решает. 2) Knowledge discovery: знакомство с Domain Experts, Event Storming. 3) Создать единый язык для бизнеса и разработчиков. 4) Аналитика: основная, вспомогательные и сторонние функции.
Tactical design;Больше про код и технические реализации. Здесь описываются конкретные решения.
Bounded Context;Чётко определённая область системы, в которой применяется конкретная модель предметной области. Важно не смешивать модели разных контекстов: понятие «товар» имеет разную модель в контексте управления товарами и в контексте оформления заказов.
Entity;Сущность с определённым UUID, поля могут изменяться со временем. Главные классы приложения, например User.
Value Object;Часто это поля сущностей (пароль, имя). Нет id, неизменяемы, являются строительными блоками и фундаментальной частью приложения.
Aggregate;Объект, объединяющий несколько сущностей: одна главная + сопутствующие. Часто используется для транзакций.
Services (DDD);Инкапсулируют определённую логику на уровне Domain или Application. Stateless.
Domain Event;Фиксирует факты, произошедшие в Bounded Context. Может использоваться для коммуникации двух Bounded Context.
Anemic model;Сущности, поля которых — примитивы. Логику этих полей приходится прописывать в сервисах (не очень хорошо).
Rich model;Сущности должны быть самодостаточными: отвечать за свои поля (например через конструктор), использовать интерфейсы вместо примитивов.
